"Name","Rating","Rarity","Preferred Position","Nation","League","Team","Price Limits","Last Sale Price","Discard Value","Contract","Untradeable","Loans","DefinitionId","IsDuplicate","IsInActive11","Alternate Positions","ExternalPrice"
"Katoto","92","Thunderstruck","ST","France","D1 Arkema","Paris SG","Min:11250 Max:170000","0","0","4","true","true","50577920","false","false","CF,ST","91500"
"Haaland","91","Rare","ST","Norway","Premier League","Manchester City","Min:10500 Max:110000","0","0","77","true","true","239085","false","false","CF,ST","53000"
"Xavi","90","Icon","CM","Spain","Icons","ICON","Min:67500 Max:200000","0","0","0","true","true","10535","false","false","CM","124000"
"Rúben Dias","90","Trailblazers","CB","Portugal","Premier League","Manchester City","Min:13750 Max:260000","0","0","0","true","true","50571466","false","false","CB","125000"
"Fernando Morientes","90","Triple Threat Heroes","ST","Spain","LALIGA EA SPORTS","HERO","Min:11000 Max:130000","0","0","7","true","true","50337309","false","false","CF,ST","70000"
"Zanetti","90","Centurions ICON","RB","Argentina","Icons","ICON","Min:19750 Max:370000","0","0","0","true","true","50332689","false","false","RWB,RB,LB,CM","180000"
"Tévez","90","UEFA Heroes (Mens)","ST","Argentina","Premier League","HERO","Min:350000 Max:6700000","0","0","0","true","true","50606614","false","false","CF,ST","950000"
"Benzema","90","Rare","CF","France","ROSHN Saudi League","Al Ittihad","Min:10500 Max:85000","0","0","7","true","false","165153","false","false","CF,ST","40250"
"Kane","90","Rare","ST","England","Bundesliga","FC Bayern München","Min:10500 Max:85000","0","0","5","true","false","202126","false","false","CF,ST","40250"
"Owen","89","Winter Wildcards ICON","LM","England","Icons","ICON","--NA--","0","0","9","true","false","50337067","false","true","RM,LM,LW","59500"
"Højlund","89","Future Stars","ST","Denmark","Premier League","Manchester Utd","--NA--","0","0","11","true","false","84145479","false","true","CF,ST","196000"
"Neymar Jr","89","Rare","LW","Brazil","ROSHN Saudi League","Al Hilal","--NA--","0","0","3","true","false","190871","false","false","LM,LW","29750"
"Barnes","89","Winter Wildcards ICON","CF","England","Icons","ICON","Min:11000 Max:90000","0","0","2","true","true","50579163","false","false","CF,ST","44750"
"Reus","89","Winter Wildcards","CAM","Germany","Bundesliga","Borussia Dortmund","Min:11000 Max:65000","0","0","3","true","false","84074430","false","false","CAM,CF","37000"
"Hrádecký","88","FC Versus Fire","GK","Finland","Bundesliga","Leverkusen","--NA--","0","0","21","true","false","50522589","false","true","GK","45500"
"Olise","88","Future Stars","RW","France","Premier League","Crystal Palace","--NA--","0","0","11","true","false","67356691","false","true","RM,RW","60500"
"Bruno Fernandes","88","Rare","CAM","Portugal","Premier League","Manchester Utd","--NA--","0","0","12","true","false","212198","false","true","CM,CAM","17500"
"Bernardo Silva","88","Rare","CM","Portugal","Premier League","Manchester City","--NA--","0","0","9","true","false","218667","false","true","CM,RW","17500"
"Solskjær","88","UEFA Heroes (Mens)","ST","Norway","Premier League","HERO","--NA--","0","0","7","true","false","50333493","false","false","CF,ST","39000"
"Milito","88","UT Heroes","ST","Argentina","Serie A TIM","HERO","--NA--","0","0","4","true","true","262271","false","false","CF,ST","19750"
